, ,Area,Mean,Min,Max,X,Y
17_001_Gm,1,0,153,153,153,3456,2261
17_001_Gm,2,0,106,106,106,3269,2361
17_001_Gm,3,0,41,41,41,3234,2179
17_001_Gm,4,0,54,54,54,2763,2254
17_001_Gm,5,0,40,40,40,2685,1959
17_001_Gm,6,0,33,33,33,2295.5,1952.5
17_001_Gm,7,0,45,45,45,1757.75,1991.5
17_001_Gm,8,0,58,58,58,1302,2109
17_001_Gm,9,0,78,78,78,1315.5,2261
17_001_Gm,10,0,96,96,96,1672.333,2293.333
17_001_Gm,11,0,105,105,105,2151,2481
17_001_Gm,12,0,127,127,127,2805.333,2509.333
17_001_Gm,13,0,56,56,56,929.333,2287
17_001_Gm,14,0,149,149,149,1614.667,1200
17_001_Gm,15,0,109,109,109,2090.5,1207.5
17_002_Gm,1,0,90,90,90,524,1338
17_002_Gm,2,0,132,132,132,802,1520
17_002_Gm,3,0,55,55,55,904,1304
17_002_Gm,4,0,106,106,106,1557,1531
17_002_Gm,5,0,76,76,76,1759,1202.333
17_002_Gm,6,0,78,78,78,2254.667,1342.667
17_002_Gm,7,0,55,55,55,3077,1479.5
17_002_Gm,8,0,66,66,66,3667,1638.667
17_002_Gm,9,0,112,112,112,3643.667,1838
17_002_Gm,10,0,72,72,72,3152,1878.5
17_002_Gm,11,0,111,111,111,2392.5,2041
17_002_Gm,12,0,134,134,134,1415,1879.5
17_002_Gm,13,0,54,54,54,4198.667,1792.667
17_002_Gm,14,0,147,147,147,1872,691
17_002_Gm,15,0,152,152,152,2463.5,719
17_003_Gm,1,0,200,200,200,2695,1936
17_003_Gm,2,0,74,74,74,2523.5,2037
17_003_Gm,3,0,36,36,36,2463,1883.5
17_003_Gm,4,0,31,31,31,2091.5,2043
17_003_Gm,5,0,80,80,80,2040.5,1826
17_003_Gm,6,0,117,117,117,1719.5,1896.5
17_003_Gm,7,0,73,73,73,1298.5,2031
17_003_Gm,8,0,111,111,111,980.5,2165.5
17_003_Gm,9,0,74,74,74,997,2277
17_003_Gm,10,0,77,77,77,1317,2278
17_003_Gm,11,0,106,106,106,1759,2288
17_003_Gm,12,0,84,84,84,2163.667,2235.333
17_003_Gm,13,0,50,50,50,637,2292.333
17_003_Gm,14,0,52,52,52,2379,633.5
17_003_Gm,15,0,49,49,49,2913,574.5
17_004_Gm,1,0,99,99,99,1251.333,1797
17_004_Gm,2,0,82,82,82,1388,1819
