"","SampleID","Age_SideA","A1","birthYear","RFOtoSpring","RFOtoWinter","RFOtoAssign","LD1","LDASpring","LDAWinter","LDAAssign"
"23","16_242_Gm",5,2.366,2011,0.01,0.99,"WINTER",-0.0392674073674308,0.461826621396379,0.538173378603621,"WINTER"
"11","16_230_Gm",4,2.892,2012,0.258,0.742,"WINTER",0.674627769889648,0.19084472274992,0.80915527725008,"WINTER"
"12","16_231_Gm",4,3.861,2012,0.026,0.974,"WINTER",2.31683130951337,0.0202609412301658,0.979739058769834,"WINTER"
"50","17_294_Gm",5,2.8095,2012,0.112,0.888,"WINTER",0.534811679054812,0.224906928953885,0.775093071046115,"WINTER"
"58","17_303_Gm",5,3.837,2012,0.026,0.974,"WINTER",2.27615753763414,0.0214929086485222,0.978507091351478,"WINTER"
"1","16_216_Gm",3,2.488,2013,0.162,0.838,"WINTER",-0.210303904584861,0.19786095147303,0.80213904852697,"WINTER"
"2","16_220_Gm",3,3.67,2013,0,1,"WINTER",1.54334135269419,0.0610939452166424,0.938906054783358,"WINTER"
"4","16_223_Gm",3,2.7005,2013,0.006,0.994,"WINTER",0.104966499113784,0.162561741096585,0.837438258903415,"WINTER"
"5","16_224_Gm",3,2.983,2013,0.462,0.538,"WINTER",0.524090682854337,0.12370752664815,0.87629247335185,"WINTER"
"6","16_225_Gm",3,2.324,2013,0.072,0.928,"WINTER",-0.453618474968758,0.228848600194625,0.771151399805375,"WINTER"
"8","16_227_Gm",3,3.254,2013,0,1,"WINTER",0.926153174159433,0.094207980772851,0.905792019227149,"WINTER"
"9","16_228_Gm",3,2.338,2013,0.684,0.316,"SPRING",-0.432847718960376,0.226075089911125,0.773924910088875,"WINTER"
"10","16_229_Gm",3,3.949,2013,0,1,"WINTER",1.95727284743265,0.045353797798743,0.954646202201257,"WINTER"
"13","16_232_Gm",3,2.577,2013,0.178,0.822,"WINTER",-0.0782612413887227,0.182417181953448,0.817582818046552,"WINTER"
"14","16_233_Gm",3,3.3565,2013,0,1,"WINTER",1.07822478064937,0.0847987501135799,0.91520124988642,"WINTER"
"15","16_234_Gm",3,3.136,2013,0.024,0.976,"WINTER",0.751085373517362,0.106189193491044,0.893810806508956,"WINTER"
"17","16_236_Gm",3,3.0765,2013,0.074,0.926,"WINTER",0.662809660481741,0.112726218645815,0.887273781354185,"WINTER"
"18","16_237_Gm",3,3.62,2013,0,1,"WINTER",1.46916008123569,0.0644085367145343,0.935591463285466,"WINTER"
"19","16_238_Gm",3,3.12,2013,0.024,0.976,"WINTER",0.72734736665064,0.107913473009967,0.892086526990033,"WINTER"
"20","16_239_Gm",3,3.61,2013,0,1,"WINTER",1.45432382694399,0.0650912535032157,0.934908746496784,"WINTER"
