"","SampleID","Age_SideA","Age_SideB","AgeConf","Diameter_SideA","Diameter_SideB","DiaConf","BetterSide","Notes","final.diameter","season"
"1","16_215_Gm",3,3,5,2.631,2.513,5,"B","",2.513,"Winter"
"2","16_216_Gm",3,3,5,2.479,2.497,5,"Both","",2.488,"Winter"
"3","16_217_Gm",3,3,5,2.576,2.58,5,"Both","",2.578,"Winter"
"4","16_218_Gm",5,5,5,2.363,2.61,5,"B","",2.61,"Winter"
"5","16_219_Gm",2,2,3,3.073,3.16,5,"Both","last year band close to edge of otolith",3.1165,"Winter"
"6","16_220_Gm",3,3,5,3.855,3.67,5,"B","looks like side B hits closer to the center",3.67,"Winter"
"7","16_221_Gm",2,2,5,3.153,2.899,5,"A","",3.153,"Winter"
"8","16_222_Gm",2,2,5,2.125,2.117,5,"Both","",2.121,"Spring"
"9","16_223_Gm",3,3,5,2.715,2.686,5,"Both","",2.7005,"Winter"
"10","16_224_Gm",3,3,5,2.983,2.895,5,"A","",2.983,"Winter"
"11","16_225_Gm",3,3,5,2.321,2.327,5,"Both","",2.324,"Winter"
"12","16_226_Gm",2,2,5,3.699,3.779,5,"A","",3.699,"Winter"
"13","16_227_Gm",3,3,5,3.254,3.254,5,"Both","",3.254,"Winter"
"14","16_228_Gm",3,3,5,2.338,2.374,5,"A","",2.338,"Winter"
"15","16_229_Gm",3,3,2,3.949,3.722,5,"A","",3.949,"Winter"
"16","16_230_Gm",4,4,5,2.892,2.831,5,"A","",2.892,"Winter"
"17","16_231_Gm",4,4,5,4.116,3.861,3,"B","broken may influence the diameter measurement; second broken can do thin section but not full otolith image",3.861,"Winter"
"18","16_232_Gm",3,3,5,2.568,2.586,5,"Both","",2.577,"Winter"
"19","16_233_Gm",3,3,5,3.374,3.339,5,"Both","",3.3565,"Winter"
"20","16_234_Gm",3,3,5,3.136,3.269,5,"A","",3.136,"Winter"
"21","16_235_Gm",NA,NA,NA,NA,NA,NA,"","broken; second otolith crystalized can do cross section but not full otolith",NA,NA
"22","16_236_Gm",3,3,5,3.032,3.121,5,"Both","broken does not influence the diameter measurement; second otolith fine",3.0765,"Winter"
"23","16_237_Gm",3,3,5,3.699,3.541,5,"Both","",3.62,"Winter"
"24","16_238_Gm",3,3,3,3.157,3.083,5,"Both","Very odd shaped otolith; 3rd year band right on edge",3.12,"Winter"
