SampleID,Age_SideA,Age_SideB,AgeConf,Diameter_SideA,Diameter_SideB,DiaConf,BetterSide,Notes
16_215_Gm,3,3,5,2.631,2.513,5,B,
16_216_Gm,3,3,5,2.479,2.497,5,Both,
16_217_Gm,3,3,5,2.576,2.58,5,Both,
16_218_Gm,5,5,5,2.363,2.61,5,B,
16_219_Gm,2,2,3,3.073,3.16,5,Both,last year band close to edge of otolith
16_220_Gm,3,3,5,3.855,3.67,5,B,looks like side B hits closer to the center
16_221_Gm,2,2,5,3.153,2.899,5,A,
16_222_Gm,2,2,5,2.125,2.117,5,Both,
16_223_Gm,3,3,5,2.715,2.686,5,Both,
16_224_Gm,3,3,5,2.983,2.895,5,A,
16_225_Gm,3,3,5,2.321,2.327,5,Both,
16_226_Gm,2,2,5,3.699,3.779,5,A,
16_227_Gm,3,3,5,3.254,3.254,5,Both,
16_228_Gm,3,3,5,2.338,2.374,5,A,
16_229_Gm,3,3,2,3.949,3.722,5,A,
16_230_Gm,4,4,5,2.892,2.831,5,A,
16_231_Gm,4,4,5,4.116,3.861,3,B,broken may influence the diameter measurement; second broken can do thin section but not full otolith image
16_232_Gm,3,3,5,2.568,2.586,5,Both,
16_233_Gm,3,3,5,3.374,3.339,5,Both,
16_234_Gm,3,3,5,3.136,3.269,5,A,
16_235_Gm,,,,,,,,broken; second otolith crystalized can do cross section but not full otolith
16_236_Gm,3,3,5,3.032,3.121,5,Both,broken does not influence the diameter measurement; second otolith fine
16_237_Gm,3,3,5,3.699,3.541,5,Both,
16_238_Gm,3,3,3,3.157,3.083,5,Both,Very odd shaped otolith; 3rd year band right on edge
16_239_Gm,3,3,5,3.487,3.733,3,Both,Faint inner band hard to estimate edges
16_240_Gm,3,3,5,2.672,2.656,5,B,
16_241_Gm,6,6,5,1.212,1.233,5,A,
16_242_Gm,5,5,5,2.366,2.424,5,A,
16_243_Gm,3,3,5,2.691,2.626,5,B,
16_244_Gm,3,3,5,2.843,2.816,5,A,
16_245_Gm,3,3,5,2.689,2.725,5,Both,
16_246_Gm,3,3,5,2.828,2.908,5,Both,
16_247_Gm,3,3,5,2.761,2.724,5,Both,
16_248_Gm,3,3,3,1.91,1.901,3,Both,Very difficult to read otolith
16_249_Gm,3,3,5,2.603,2.659,4,A,Hard to read edges of first annulus
17_001_Gm,4,4,4,2.584,2.62,5,B,last year band close to edge of otolith
17_002_Gm,4,4,5,2.54,2.666,5,B,
17_003_Gm,2,2,1,2.892,2.846,5,Both,faint band in the center of otolith could be 3 year old
17_004_Gm,,,,,,,,recut; second burned
17_005_Gm,2,2,5,2.404,2.506,5,A,
17_006_Gm,3,3,5,2.9,2.884,5,A,
17_007_Gm,3,3,5,2.668,2.628,5,Both,Neither seem to reach the center
17_008_Gm,3,3,5,2.477,2.419,5,Both,
17_009_Gm,2,2,5,2.391,2.371,5,Both,
17_010_Gm,3,3,5,2.554,2.579,5,A,
17_011_Gm,5,5,5,2.576,2.55,5,Both,poor cut; no second otolith
17_012_Gm,,,,,,,,recut; second burned
17_013_Gm,4,4,5,2.704,2.764,5,Both,
