FISHID,TOWID,PERIOD,TOWDATE,STRAT,LAT,LON,SEASON,SEX,MATURITY,LENGTH,OTO_WT,A1,A2,AGE
2350_237_2,2350_237,IBS1,12/03/03,STELL,42.91705,-70.59816667,WINTER,M,R,56,0.5206,3.26,5.21,5
2350_251_5,2350_251,IBS1,11/25/03,MBAY,42.84761667,-70.39605,WINTER,F,R,87,0.6583,2.77,4.45,6
2350_253_1,2350_253,IBS1,11/25/03,WME,42.82728333,-70.57326667,WINTER,F,R,68,0.4839,3.24,5.24,4
2350_253_4,2350_253,IBS1,11/25/03,WGOM,42.82728333,-70.57326667,WINTER,M,U,84,0.7238,2.38,3.73,6
2350_260_4,2350_260,IBS1,11/25/03,WGOM,42.83271667,-70.46688333,WINTER,F,R,84,0.8026,2.09,5.23,5
2350_269_5,2350_269,IBS1,11/26/03,WGOM,42.7714,-70.52075,WINTER,F,R,88,0.6994,2.83,4.71,5
2350_285_4,2350_285,IBS1,11/26/03,WGOM,42.73473333,-70.52323333,WINTER,M,R,71,0.5428,3.25,5.06,4
2350_31_1,2350_31,IBS1,12/28/03,MBAY,44.2985,-68.16575,WINTER,M,R,72,0.5005,2.86,4.33,4
2350_32_1,2350_32,IBS1,12/28/03,CCB,44.30463333,-68.04685,WINTER,M,R,67,0.5542,2.93,4.74,4
2350_328_4,2350_328,IBS1,12/04/03,CCB,42.43283333,-70.44333333,WINTER,M,R,71,0.6181,3.04,5.12,5
2350_332_10,2350_332,IBS1,12/04/03,GSC,42.4195,-70.37983333,WINTER,M,R,67,0.4536,2.96,5.19,4
2350_332_3,2350_332,IBS1,12/04/03,CCB,42.4195,-70.37983333,WINTER,M,R,65,0.4513,3.07,4.86,4
2350_334_1,2350_334,IBS1,12/03/03,GSC,42.38401667,-70.71601667,WINTER,M,R,88,0.6082,2.82,5.45,5
2350_334_11,2350_334,IBS1,12/03/03,GSC,42.38401667,-70.71601667,WINTER,F,R,90,0.6283,2.8,5.42,5
2350_369_9,2350_369,IBS1,12/10/03,EME,42.12183333,-70.49033333,WINTER,F,R,86,0.701,2.9,5.09,5
2350_376_19,2350_376,IBS1,12/13/03,IBAY,42.07683333,-70.51933333,WINTER,F,R,100,0.9982,2.89,5.6,6
2350_376_22,2350_376,IBS1,12/13/03,IBAY,42.07683333,-70.51933333,WINTER,F,R,102,0.9132,2.58,4.77,7
2350_376_24,2350_376,IBS1,12/13/03,IBAY,42.07683333,-70.51933333,WINTER,F,R,110,1.134,2.83,5,8
2350_376_9,2350_376,IBS1,12/13/03,IBAY,42.07683333,-70.51933333,WINTER,M,R,90,0.7188,2.55,4.75,7
2350_392_1,2350_392,IBS1,12/29/03,MBAY,41.87668333,-69.82861667,WINTER,M,U,70,0.4801,3.47,5.17,4
2350_404_4,2350_404,IBS1,12/22/03,MBAY,41.61868333,-69.51698333,WINTER,M,U,69,0.5462,3.36,5.36,4
2350_59_1,2350_59,IBS1,12/22/03,MBAY,44.03031667,-67.88883333,WINTER,M,R,56,0.299,2.84,5.74,2
2455_167_2,2455_167,IBS1,01/18/04,GSC,43.41758333,-70.28773333,WINTER,NA,R,58,0.4013,2.9,4.18,5
2455_167_3,2455_167,IBS1,01/18/04,GSC,43.41758333,-70.28773333,WINTER,NA,U,65,0.4498,2.55,4.79,5
2455_220_1,2455_220,IBS1,02/01/04,JEFF,43.1114,-69.61298333,WINTER,M,R,49,0.3291,2.75,4.51,5
2455_399_1,2455_399,IBS1,02/10/04,MBAY,41.78641667,-69.83061667,WINTER,F,R,51,0.2809,1.49,3.41,4
2456_138_1,2456_138,IBS1,03/04/04,MBAY,43.58015,-69.9598,WINTER,F,R,68,0.5396,2.99,5.02,4
2456_138_2,2456_138,IBS1,03/04/04,STELL,43.58015,-69.9598,WINTER,M,U,73,0.6805,3.19,5.09,7
2456_138_3,2456_138,IBS1,03/04/04,STELL,43.58015,-69.9598,WINTER,F,R,60,0.2059,2.52,4.87,4
2456_308_7,2456_308,IBS1,03/05/04,STELL,42.57843333,-70.43168333,WINTER,M,U,47,0.3841,2.49,3.97,6
2456_401_1,2456_401,IBS1,02/28/04,JEFF,41.74163333,-69.72545,WINTER,F,U,87,0.6154,3.56,6.01,5
2456_75_1,2456_75,IBS1,02/29/04,MBAY,43.85645,-69.0587,WINTER,M,U,32,0.1115,3.07,4.67,2
2456_75_2,2456_75,IBS1,02/29/04,GSC,43.85645,-69.0587,WINTER,M,U,38,0.1538,3.22,5.27,2
