,SampleID,Spring,Winter,Spawning,CollectionDate,CollectionSite,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,TotalLength,WeightTotal,WeightGonad,GSI,WeightLiver,Sex,LeftGillRaker,RightGillRaker,RedGreenRatio,Age,corrected,ColorType,Age_SideA,Age_SideB,AgeConf,Diameter_SideA,Diameter_SideB,DiaConf,BetterSide,Notes,final.diameter,OtolSeason,FinalSpawningAssignment,Assigned,MorphConf_OtolConf,
3,16_221_Gm,0.693842413,0.306157587,Spring,8/11/16,Stellwagon_Bank_A,1.38,4.11,1.15,3.34,3.37,3.25,3.15,4.24,3.63,2.42,4.39,3.13,5.04,4.07,4.36,2.83,3.21,0.92,2.53,3.93,2.78,1.98,16.47,NA,NA,,NA,,NA,NA,1.12,NA,,Olive,2,2,5,3.153,2.899,5,A,,3.153,Winter,unknown,Winter,low_high,
4,16_223_Gm,0.520548138,0.479451862,Spring,8/11/16,Stellwagon_Bank_A,2.14,5.87,2.01,4.93,4.33,3.79,4.63,6.26,5.48,3.72,6.58,4.51,6.83,5.26,5.8,4.29,4.84,1.61,3.96,5.23,4.38,2.68,22.99,NA,NA,,NA,,NA,NA,1,NA,,Olive,3,3,5,2.715,2.686,5,Both,,2.7005,Winter,unknown,,low_low,
8,16_227_Gm,0.945490161,0.054509839,Spring,8/11/16,Stellwagon_Bank_B,2.05,5.52,1.59,4.16,4.72,4.78,3.66,4.55,3.59,2.24,4.77,3.74,5.19,3.88,4.53,3.28,3.56,1.1,2.73,3.86,3.24,2.34,18.53,NA,NA,,NA,,NA,NA,1.01,NA,,Olive,3,3,5,3.254,3.254,5,Both,,3.254,Winter,unknown,,high_high,gills already taken out. Mouth (point 2) hard to read
21,16_240_Gm,0.568078437,0.431921563,Spring,8/11/16,Stellwagon_Bank_B,3.21,7.88,2.67,4.95,4.83,4.63,4.77,6.71,6.07,3.8,6.61,4.44,7.28,5.92,6.39,4.57,4.76,1.34,3.59,5.78,4.25,2.83,25.65,NA,NA,,NA,,NA,NA,1.15,NA,,Olive,3,3,5,2.672,2.656,5,B,,2.656,Winter,unknown,,low_low,
22,16_241_Gm,0.095294179,0.904705821,Winter,8/11/16,Stellwagon_Bank_B,3.09,7.94,2.96,5.74,5.14,4.39,5.64,7.72,6.72,4.1,7.52,5.41,7.7,6.4,6.86,4.26,4.57,1.41,4.02,5.91,4.6,2.83,26.8,NA,NA,,NA,,NA,NA,1.12,NA,,Olive,6,6,5,1.212,1.233,5,A,,1.212,Spring,unknown,,high_high,
24,16_243_Gm,0.872259219,0.127740781,Spring,8/11/16,Stellwagon_Bank_B,2.21,5.67,1.62,4.38,4.21,4.05,3.71,5.47,4.64,3.27,5.34,3.78,5.72,4.68,5.38,3.82,4.23,1.23,3.61,4.62,3.98,2.46,21.57,NA,NA,,NA,,NA,NA,1.1,NA,,Olive,3,3,5,2.691,2.626,5,B,,2.626,Winter,unknown,,med_low,
26,16_245_Gm,0.652872864,0.347127136,Spring,8/11/16,Stellwagon_Bank_B,2.2,5.69,1.92,4.46,3.85,3.34,3.97,5.52,4.57,3.13,5.29,3.76,5.74,4.52,5.22,3.47,3.86,1.1,3.16,4.74,3.48,2.29,20.46,NA,NA,,NA,,NA,NA,1.06,NA,,Olive,3,3,5,2.689,2.725,5,Both,,2.707,Winter,unknown,,low_low,
28,16_247_Gm,0.775903378,0.224096622,Spring,8/11/16,Stellwagon_Bank_B,2.21,6.53,2.34,5.66,4.68,4.07,5.27,6.95,6.33,3.56,6.81,4.7,8.23,6.68,6.65,5.42,5.98,1.59,4.61,6.14,4.97,3.13,27.2,NA,NA,,NA,,NA,NA,1.08,NA,,Olive,3,3,5,2.761,2.724,5,Both,,2.7425,Winter,unknown,,med_med,
29,16_248_Gm,0.366462943,0.633537057,Winter,8/11/16,Stellwagon_Bank_B,1.93,5.44,1.27,4.22,5.07,5.28,3.99,5.31,4.22,2.88,5.46,4.22,5.77,4.44,5.46,3.88,4.17,1.25,3.37,4.69,3.89,2.55,20.68,NA,NA,,NA,,NA,NA,1.06,NA,,Olive,3,3,3,1.91,1.901,3,Both,Very difficult to read otolith,1.9055,Spring,unknown,,low_med,otolith difficult to read
30,16_249_Gm,0.894909017,0.105090983,Spring,8/11/16,Stellwagon_Bank_B,1.73,5.27,2.07,4.72,4.03,3.46,4.36,6.02,5.19,3.4,5.62,3.71,6.35,5.17,5.76,4.62,4.96,1.24,4,5.31,4.34,2.52,23.18,NA,NA,,NA,,NA,NA,1.13,NA,,Olive,3,3,5,2.603,2.659,4,A,Hard to read edges of first annulus,2.603,Winter,unknown,,med_low,otolith difficult to read
